Participant ID,1,1,1,2,3,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,10,10,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,15,16,16,17,17,18,18,18,19,19,19,19,20,20,20,21,21,22,22,23,23,24,24
Replicate,1,2,3,1,1,2,1,2,1,2,1,2,1,2,3,1,2,3,1,2,1,2,1,2,3,1,2,3,4,1,2,3,1,2,3,1,2,3,1,2,1,2,1,2,3,1,2,3,4,1,2,3,1,2,1,2,1,2,1,2
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 1,Group 1,Group 2,Group 2
1.668,892.033,809.514,1179.736,183.721,154,118,829,473,237,156,172,389,606.961,351.523,567.975,303.814,353.311,304.961,721.254,572.703,294.991,532.495,485.425,525.202,578.971,174,429.248,443.785,439.726,118.695,143.624,93.705,1241.761,889.096,1197.378,570.116,458.646,401.175,1025.538,1265.108,414.926,414.027,102.591,96.609,75.02,1564.573,548.972,597.584,1186.994,375.396,382.415,540.454,141,207,670,390,728,482,172.895,152.431
1.8348,889.904,805.21,1168.767,186.382,149,116,811,471,231,152,176,392,602.009,355.255,577.91,308.855,356.483,307.116,726.333,568.724,307.339,548.078,490.688,524.843,580.677,168.5,432.458,446.881,442.173,122.824,141.471,92.756,1257.578,891.527,1204.669,561.725,466.081,395.665,1034.757,1242.703,424.38,428.26,101.866,95.221,74.167,1582.535,551.829,596.99,1191.519,381.155,387.056,545.775,144,193,663,385,729,481,170.696,156.17
2.0016,879.028,799.729,1162.092,186.637,144,113,814,469,227,153,175,396,605.204,360.45,570.345,308.119,363.921,310.683,726.091,572.703,315.433,569.18,496.16,530.57,586.015,161.5,431.143,443.544,440.476,121.636,144.743,94.725,1261.385,906.515,1222.524,559.663,461.248,401.458,1033.895,1224.532,447.237,437.805,103.003,93.692,78.02,1592.012,552.226,595.208,1180.784,385.57,388.938,546.44,140,183,652,387,732,481,176.266,151.921
2.1684,880.114,793.934,1151.403,187.91,142,112,801,471,225,152,177,399,607.399,361.924,579.423,306.493,365.357,308.063,721.254,581.031,327.525,579.823,494.923,539.609,592.545,154,433.83,449.116,446.697,118.709,144.814,94.626,1267.46,911.078,1218.845,553.462,466.379,400.458,1037.812,1200.598,460.032,450.566,103.643,95.108,77.011,1591.884,553.513,595.972,1179.398,387.141,393.168,557.576,134,174,643,382,726,484,178.138,152.488
2.3352,871.843,789.265,1150.842,195.68,136,109,789,474,223,148,171,397,605.068,367.432,587.311,314.592,364.703,313.147,723.9,579.94,341.053,600.926,497.574,538.302,591.884,151,430.888,443.261,450.346,117.903,149.064,92.487,1286.76,922.727,1233.709,556.975,464.727,408.34,1034.531,1190.174,477.709,466.258,102.278,94.471,80.594,1578.519,553.343,586.354,1169.328,391.216,397.711,556.982,133,169,636,385,729,491,179.254,153.957
2.502,862.042,784.338,1137.759,195.964,138,109,785,476,222,149,178,403,607.775,368.765,590.419,319.095,369.681,317.115,720.728,590.803,348.351,613.041,508.165,548.675,601.793,143.5,438.524,446.867,445.708,119.784,150.452,95.532,1285.943,937.756,1235.66,555.453,469.239,414.457,1024.859,1180.558,498.769,486.581,104.254,92.319,80.679,1573.936,558.095,592.62,1169.116,392.687,399.409,563.292,127,160,646,392,727,488,177.86,151.594
2.6688,853.289,777.43,1123.476,198.539,138,108,771,480,215,148,175,403,608.87,365.187,590.587,316.433,376.323,315.555,715.763,590.987,361.794,634.214,510.7,552.819,605.858,143,437.11,450.119,453.301,117.338,150.679,96.297,1289.188,941.206,1239.169,555.254,466.579,414.527,1020.207,1162.699,514.733,498.846,104.354,91.936,81.774,1563.894,552.254,593.836,1163.204,398.08,402.833,570.862,127,159,658,401,724,502,178.827,149.783
2.8356,853.599,776.242,1126.252,198.992,135,109,768,492,215,151,176,398,616.34,369.878,591.67,316.606,373.222,315.361,714.444,600.589,378.949,651.636,517.668,561.037,613.548,141,434.565,448.14,452.028,119.303,150.126,96.099,1298.102,949.698,1239.359,559.663,465.968,418.162,1012.953,1144.458,528.264,512.867,102.491,91.837,83.509,1571.956,547.318,583.837,1166.457,402.852,407.785,575.111,125,157,664,407,740,511,179.467,148.749
3.0024,844.109,771.66,1104.307,205.772,134,105,760,496,218,149,174,406,608.839,368.627,592.4,321.999,378.172,317.948,708.423,603.79,390.813,653.165,522.269,566.018,618.078,138,436.813,447.447,448.875,122.131,148.313,96.609,1303.836,960.382,1257.768,560.53,471.062,422.4,1008.654,1144.698,550.781,527.553,105.292,94.329,85.371,1548.845,547.841,583.384,1154.279,404.651,407.115,574.19,121,155,674,414,744,524,183.92,150.306
3.1692,839.212,764.927,1094.728,206.125,139,108,764,505,220,153,174,407,615.397,374.292,596.453,322.999,382.381,324.739,703.771,607.529,402.165,670.063,534.549,570.641,623.646,137,438.326,445.481,451.109,118.214,151.826,94.838,1307.857,962.444,1254.555,557.515,477.508,431.44,1004.214,1129.035,570.157,545.497,106.984,92.149,84.575,1543.131,547.403,586.439,1156.882,404.339,411.817,576.881,120,154,678,430,750,530,182.511,149.004
3.336,835.581,754.72,1089.648,206.493,141,108,761,514,218,155,179,397,612.738,371.786,602.396,322.778,385.553,322.268,702.633,609.455,414.114,681.075,534.546,575.21,629.181,135.5,439.019,447.716,455.861,116.008,149.049,94.994,1308.786,968.404,1256.086,565.266,481.059,436.347,988.136,1114.334,576.412,552.89,110.155,92.446,84.646,1533.174,542.155,578.108,1141.974,403.32,416.406,578.227,118,153,688,440,776,548,184.998,148.919
3.5028,824.097,758.182,1086.076,213.443,140,109,756,519,225,160,183,409,617.661,374.071,602.893,330.693,389.194,321.061,689.702,614.78,426.675,700.238,540.271,578.787,634.253,134.5,436.248,444.732,451.138,114.806,151.968,92.685,1311.726,968.082,1253.403,562.749,488.127,448.889,982.777,1113.088,599.383,574.913,108.492,91.781,85.4,1522.128,539.143,574.756,1131.366,407.2,417.454,580.507,114,155,707,450,791,567,180.932,148.451
3.6696,817.201,749.494,1071.026,213.895,141,109,758,534,228,162,179,407,609.2,375.265,604.62,329.986,386.534,326.559,687.768,616.083,436.263,707.258,546.964,586.653,636.423,135.5,438.722,445.496,450.699,114.368,149.418,91.693,1301.176,970.688,1249.148,564.669,495.652,450.733,979.935,1099.647,614.513,583.481,108.335,91.228,87.988,1515.155,535.055,568.873,1128.212,404.396,419.437,582.56,116,155,715,459,804,574,185.186,149.23
3.8364,812.192,738.601,1060.732,213.216,144,109,763,537,235,168,181,407,613.95,378.494,607.711,329.647,390.09,325.488,686.331,624.382,451.84,719.316,547.197,594.204,644.436,136.5,434.141,445.199,445.241,109.659,149.545,93.082,1292.184,971.361,1259.636,574.411,498.067,458.759,962.344,1098.458,625.736,593.324,109.259,92.743,88.073,1504.476,527.7,564.63,1115.2,409.622,419.564,581.583,116,157,734,471,829,604,183.564,145.918
4.0032,805.481,738.917,1046.257,215.608,144,110,758,546,242,168,180,406,608.419,374.97,611.378,329.42,388.497,326.162,680.072,626.124,459.906,727.596,558.703,600.688,649.477,137.5,430.804,437.591,445.948,112.275,145.806,92.926,1305.052,978.66,1246.279,577.341,505.578,461.097,957.197,1084.352,639.691,604.413,110.255,89.628,87.305,1481.521,527.616,554.432,1107.308,406.365,416.59,582.192,114,161,740,478,850,617,181.018,146.414
4.17,806.835,730.615,1039.375,219.274,145,108,766,540,246,176,183,402,604.749,372.878,610.093,330.311,387.857,332.928,670.541,619.425,469.807,737.05,553.81,606.537,651.9,141.5,430.874,445.142,446.655,109.659,146.811,91.325,1294.537,975.841,1240.225,584.708,511.264,471.74,950.862,1077.384,650.277,618.349,109.515,90.577,91.031,1471.819,518.012,552.282,1099.826,404.863,422.099,583.028,119,164,748,488,870,627,185.869,144.008
4.3368,795.421,725.972,1032.356,224.793,143,107,766,549,251,180,182,403,605.204,385.141,613.116,335.85,392.565,329.873,670.526,632.554,481.315,741.763,561.631,606.637,653.565,141,431.666,433.504,444.859,108.429,150.877,92.317,1293.401,975.84,1237.263,585.419,510.81,480.057,941.713,1065.119,663.68,620.346,111.378,92.644,91.855,1457.081,513.373,556.002,1094.154,405.033,424.294,589.896,116,166,753,489,894,647,183.92,142.663
4.5036,786.458,724.707,1020.774,225.558,143,110,768,557,256,183,185,405,603.349,377.793,607.265,336.252,388.426,339.745,660.569,624.58,488.698,744.452,566.033,610.384,662.607,144.5,418.516,435.484,439.118,108.358,145.664,90.291,1285.802,970.546,1235.655,590.482,515.738,482.445,941.416,1056.239,669.964,629.127,107.255,91.639,92.495,1448.397,505.551,538.987,1078.526,411.959,420.895,587.376,118,171,757,492,902,665,185.171,146.015
4.6704,783.953,709.908,1010.572,228.148,142,106,767,553,258,190,184,404,603.165,378.728,610.72,340.183,391.356,339.688,661.55,622.98,496.991,749.448,570.372,614.511,661.542,146,427.169,432.755,439.783,107.114,146.273,90.22,1275.415,969.658,1230.25,597.892,522.01,485.862,923.755,1049.838,672.356,638.162,109.828,92.219,91.358,1433.192,504.844,540.529,1067.805,405.685,423.515,584.288,120,172,756,494,919,673,185.42,141.71
